INSTNM,MD_EARN_WNE_P10,CCBASIC,CCSIZSET,CCUGPROF,TUITIONFEE_OUT,APPL_SCH_PCT_GE5,FEMALE,PFTFTUG1_EF,GT_THRESHOLD_1YR,VETERAN,MARRIED,COMPL_RPY_1YR_RT,COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR4_RT,WDRAW_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,UG25ABV
East Central Community College,32421.0,4.0,2.0,3.0,5665.0,0.0836142953,0.5724881996,0.7221,120.0,,0.0539447067,0.4476744186,0.325476992144,0.39258114374,0.489819004525,0.448275862069,0.114
East Mississippi Community College,33772.0,7.0,3.0,3.0,6740.0,0.0802700675,0.5303825956,0.6096,76.0,0.0037509377,0.0585146287,0.4717668488,0.239155251142,0.220125786164,0.294693877551,0.043668122271,0.1721
Academy of Hair Design-Grenada,22284.0,-2.0,-2.0,-2.0,,,0.593220339,1.0,,,0.1016949153,,0.688172043011,0.666666666667,,,0.2121
Hinds Community College,30774.0,8.0,4.0,2.0,6800.0,0.1204819277,0.5997463538,0.3407,652.0,0.0022828155,0.0692454027,0.478313253,0.218523550725,0.258641239571,0.484822695035,0.24213836478,0.2537
Holmes Community College,32922.0,8.0,3.0,3.0,6210.0,0.1035366479,0.6786263455,0.3759,317.0,,0.085084572,0.4884318766,0.253859348199,0.298200514139,0.420718816068,0.275956284153,0.2342
Itawamba Community College,32912.0,4.0,3.0,3.0,5360.0,0.0637671681,0.5752125572,0.8156,385.0,,0.0837148463,0.5209677419,0.337880377754,0.38198498749,0.436163318211,0.406844106464,0.1442
Jackson State University,39060.0,16.0,14.0,11.0,9445.0,0.2636072572,0.6464781217,0.6794,584.0,,0.0416221985,0.4871395168,0.372609819121,0.352335164835,0.207650273224,0.168965517241,0.2324
Jones County Junior College,33377.0,4.0,3.0,3.0,5870.0,0.0967503693,0.5853028065,0.6152,162.0,,0.0638847858,0.5706666667,0.32012987013,0.340649692713,0.503053435115,0.304526748971,0.151
Meridian Community College,31002.0,8.0,3.0,3.0,5811.0,0.0972146368,0.6886947023,0.3164,367.0,,0.1070453304,0.5298507463,0.317669172932,0.356550580431,0.417197452229,0.290780141844,0.3227
Millsaps College,53848.0,21.0,8.0,12.0,43815.0,0.4425287356,0.4971264368,0.9231,41.0,,,0.7972972973,0.6875,,0.094240837696,,0.0158
Mississippi Delta Community College,28421.0,5.0,2.0,3.0,5980.0,0.1728167282,0.5688806888,0.455,105.0,,0.0387453875,,0.267509727626,0.194053208138,0.413377192982,0.269565217391,0.1424
University of Mississippi,50994.0,15.0,16.0,13.0,26440.0,0.1321930946,0.608056266,0.7663,2317.0,0.001758312,0.0602621483,0.7113192182,0.494428152493,0.469743589744,0.126071768815,0.122274143302,0.0565
Mississippi University for Women,46128.0,20.0,10.0,11.0,7866.0,0.104029304,0.8681318681,0.1891,553.0,,0.1831501832,0.6274787535,0.588397790055,0.55773955774,0.101449275362,0.410891089109,0.2231
Mississippi Valley State University,31919.0,20.0,11.0,11.0,7414.0,0.271711092,0.5717970765,0.5409,23.0,,0.0154772141,0.4353741497,0.199134199134,0.092,0.307573415765,,0.1453
